problem;time
1;0.0002996012468315827
2;0.0000218379425439900455802
3;0.17621648833623993
4;0.08244321368694964
5;5.287080826439695e-05
6;3.1032865720406905e-05
7;0.028332623280932487
8;0.0014137194383740924
9;0.049979388047212865
10;0.5612899097978036
11;0.0012961010460757602
12;5.060536309219136
13;0.0003800568246252302
14;4.954667496253069
15;2.950037852433743e-05
16;0.00025324350915048105
17;0.0025791759509849297
18;0.0002229768870281089
19;0.0005758320639231059
20;0.000174320418552903
21;0.10578414304848482
22;0.013420373497779426
23;4.611398793013084
24;0.035841044298074894
25;0.4673124312296371
26;0.0012374834108261027
27;4.080945590574591
28;0.000506487018300962
29;0.012036537559728689
30;2.8360564353734827
31;0.0002555422399445853
32;0.14736818311383007
33;0.007232190200050878
34;17.459511305158046
35;0.7087132624506922
36;0.9092825048196722
37;0.3565530684991127
38;0.03634906380357192
39;0.11050228800338374
40;0.2514167844127662
41;0.006199676951699068
42;0.007469342593642629
43;10.106111329064845
44;3.5036070917377486
45;0.047278379364140415
46;0.17976036497715062
47;2.989720842132364
48;0.059097303742027235
49;0.03659617736393812
50;0.4974775260752697
67;0.0077513202377194135
